location,date,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,Gap,mfg_score
Bangladesh,2021-01-26,0.0,,0.0,,0
Bangladesh,2021-01-27,0.0,,0.0,,0
Bangladesh,2021-01-28,0.0,,0.0,,0
Bangladesh,2021-02-07,0.02,,0.02,,0
Bangladesh,2021-02-09,0.1,,0.1,,0
Bangladesh,2021-02-10,0.2,,0.2,,0
Bangladesh,2021-02-13,0.43,,0.43,,0
Bangladesh,2021-02-14,0.53,,0.53,,0
Bangladesh,2021-02-15,0.66,,0.66,,0
Bangladesh,2021-02-16,0.79,,0.79,,0
Bangladesh,2021-02-17,0.93,,0.93,,0
Bangladesh,2021-02-18,1.08,,1.08,,0
Bangladesh,2021-02-20,1.22,,1.22,,0
Bangladesh,2021-02-22,1.35,,1.35,,0
Bangladesh,2021-02-23,1.46,,1.46,,0
Bangladesh,2021-02-24,1.56,,1.56,,0
Bangladesh,2021-02-25,1.67,,1.67,,0
Bangladesh,2021-02-27,1.74,,1.74,,0
Bangladesh,2021-02-28,1.82,,1.82,,0
Bangladesh,2021-03-02,1.95,,1.95,,0
Bangladesh,2021-03-04,2.09,,2.09,,0
Bangladesh,2021-03-07,2.15,,2.15,,0
Bangladesh,2021-03-09,2.34,,2.34,,0
Bangladesh,2021-03-11,2.46,,2.46,,0
Bangladesh,2021-03-14,2.57,,2.57,,0
Bangladesh,2021-03-16,2.68,,2.68,,0
Bangladesh,2021-03-18,2.74,,2.74,,0
Bangladesh,2021-03-20,2.78,,2.78,,0
Bangladesh,2021-03-22,2.87,,2.87,,0
Bangladesh,2021-03-24,2.96,,2.96,,0
Bangladesh,2021-03-25,3.0,,3.0,,0
Bangladesh,2021-03-29,3.11,,3.11,,0
Bangladesh,2021-03-31,3.14,,3.14,,0
Bangladesh,2021-04-01,3.16,,3.16,,0
Bangladesh,2021-04-03,3.19,,3.19,,0
Bangladesh,2021-04-04,3.21,,3.21,,0
Bangladesh,2021-04-05,3.24,,3.24,,0
Bangladesh,2021-04-07,3.25,,3.25,,0
Bangladesh,2021-04-08,3.26,0.05,3.31,3.21,0
Bangladesh,2021-04-10,3.27,0.13,3.4,3.14,0
Bangladesh,2021-04-11,3.29,0.22,3.51,3.07,0
Bangladesh,2021-04-12,3.3,0.31,3.61,2.9899999999999998,0
Bangladesh,2021-04-15,3.32,0.54,3.87,2.78,0
Bangladesh,2021-04-18,3.34,0.8,4.14,2.54,0
Bangladesh,2021-04-20,3.36,0.98,4.34,2.38,0
Bangladesh,2021-04-22,3.38,1.15,4.53,2.23,0
Bangladesh,2021-04-24,3.39,1.26,4.65,2.13,0
Bangladesh,2021-04-25,3.4,1.36,4.76,2.04,0
Bangladesh,2021-04-26,3.4,1.44,4.84,1.96,0
Bangladesh,2021-04-27,3.4,1.51,4.91,1.89,0
Bangladesh,2021-04-28,3.4,1.58,4.98,1.8199999999999998,0
Bangladesh,2021-04-29,3.4,1.64,5.04,1.76,0
Bangladesh,2021-05-02,3.4,1.72,5.11,1.68,0
Bangladesh,2021-05-03,3.4,1.77,5.17,1.63,0
Bangladesh,2021-05-04,3.4,1.81,5.21,1.5899999999999999,0
Bangladesh,2021-05-05,3.4,1.88,5.28,1.52,0
Bangladesh,2021-05-06,3.4,1.94,5.34,1.46,0
Bangladesh,2021-05-08,3.4,1.99,5.39,1.41,0
Bangladesh,2021-05-09,3.4,2.04,5.44,1.3599999999999999,0
Bangladesh,2021-05-11,3.4,2.1,5.5,1.2999999999999998,0
Bangladesh,2021-05-12,3.4,2.13,5.53,1.27,0
Bangladesh,2021-05-16,3.4,2.16,5.56,1.2399999999999998,0
Bangladesh,2021-05-17,3.4,2.19,5.59,1.21,0
Bangladesh,2021-05-18,3.4,2.23,5.63,1.17,0
Bangladesh,2021-05-19,3.4,2.24,5.64,1.1599999999999997,0
Bangladesh,2021-05-20,3.4,2.29,5.69,1.1099999999999999,0
Bangladesh,2021-05-22,3.4,2.32,5.72,1.08,0
Bangladesh,2021-05-24,3.4,2.36,5.76,1.04,0
Bangladesh,2021-05-25,3.4,2.38,5.78,1.02,0
Bangladesh,2021-05-27,3.4,2.4,5.81,1.0,0
Bangladesh,2021-05-29,3.4,2.42,5.82,0.98,0
Bangladesh,2021-05-30,3.4,2.43,5.83,0.9699999999999998,0
Bangladesh,2021-05-31,3.4,2.44,5.84,0.96,0
Bangladesh,2021-06-01,3.4,2.44,5.84,0.96,0
Bangladesh,2021-06-03,3.4,2.45,5.85,0.9499999999999997,0
Bangladesh,2021-06-05,3.4,2.45,5.85,0.9499999999999997,0
Bangladesh,2021-06-06,3.4,2.46,5.86,0.94,0
Bangladesh,2021-06-07,3.4,2.46,5.87,0.94,0
Bangladesh,2021-06-08,3.4,2.47,5.87,0.9299999999999997,0
Bangladesh,2021-06-10,3.4,2.47,5.88,0.9299999999999997,0
Bangladesh,2021-06-12,3.4,2.48,5.88,0.9199999999999999,0
Bangladesh,2021-06-14,3.4,2.48,5.88,0.9199999999999999,0
Bangladesh,2021-06-16,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-17,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-19,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-20,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-21,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-22,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-23,3.4,2.49,5.89,0.9099999999999997,0
Bangladesh,2021-06-24,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-06-26,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-06-28,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-06-29,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-06-30,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-07-03,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-07-05,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-07-08,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-07-13,3.4,2.5,5.9,0.8999999999999999,0
Bangladesh,2021-07-21,3.4,2.51,5.91,0.8900000000000001,0
Bangladesh,2021-07-22,3.52,2.51,6.03,1.0100000000000002,0
Bangladesh,2021-07-24,3.52,2.51,6.03,1.0100000000000002,0
Bangladesh,2021-07-25,3.55,2.51,6.06,1.04,0
Bangladesh,2021-07-26,3.57,2.51,6.08,1.06,0
Bangladesh,2021-07-27,3.61,2.51,6.12,1.1,0
Bangladesh,2021-07-28,3.87,2.51,6.38,1.3600000000000003,0
Bangladesh,2021-07-29,4.02,2.52,6.54,1.4999999999999996,0
Bangladesh,2021-07-30,4.34,2.52,6.85,1.8199999999999998,0
Bangladesh,2021-07-31,4.98,2.53,7.51,2.4500000000000006,0
Bangladesh,2021-08-01,5.14,2.53,7.68,2.61,0
Bangladesh,2021-08-02,5.32,2.54,7.86,2.7800000000000002,0
Bangladesh,2021-08-03,5.68,2.56,8.24,3.1199999999999997,0
Bangladesh,2021-08-05,5.88,2.6,8.48,3.28,0
Bangladesh,2021-08-07,5.98,2.61,8.59,3.3700000000000006,0
Bangladesh,2021-08-08,7.69,2.64,10.33,5.050000000000001,0
Bangladesh,2021-08-09,8.21,2.69,10.91,5.520000000000001,0
Bangladesh,2021-08-10,8.5,2.76,11.27,5.74,0
Bangladesh,2021-08-11,8.69,2.87,11.56,5.819999999999999,0
Bangladesh,2021-08-12,8.84,2.96,11.8,5.88,0
Bangladesh,2021-08-13,8.89,3.01,11.89,5.880000000000001,0
Bangladesh,2021-08-14,9.01,3.05,12.06,5.96,0
Bangladesh,2021-08-15,9.09,3.13,12.22,5.96,0
Bangladesh,2021-08-16,9.09,3.17,12.26,5.92,0
Bangladesh,2021-08-17,9.2,3.32,12.52,5.879999999999999,0
Bangladesh,2021-08-18,9.29,3.43,12.72,5.859999999999999,0
Bangladesh,2021-08-19,9.4,3.55,12.95,5.8500000000000005,0
Bangladesh,2021-08-21,9.5,3.6,13.09,5.9,0
Bangladesh,2021-08-22,9.63,3.69,13.33,5.940000000000001,0
Bangladesh,2021-08-23,9.79,3.8,13.59,5.989999999999999,0
Bangladesh,2021-08-24,9.96,3.9,13.87,6.0600000000000005,0
Bangladesh,2021-08-25,10.13,4.03,14.17,6.1000000000000005,0
Bangladesh,2021-08-26,10.31,4.17,14.48,6.140000000000001,0
Bangladesh,2021-08-29,10.59,4.33,14.92,6.26,0
Bangladesh,2021-08-31,10.85,4.61,15.46,6.239999999999999,0
Bangladesh,2021-09-02,10.95,4.82,15.77,6.129999999999999,0
Bangladesh,2021-09-04,11.07,4.91,15.97,6.16,0
Bangladesh,2021-09-05,11.19,5.0,16.19,6.1899999999999995,0
Bangladesh,2021-09-06,11.3,5.1,16.4,6.200000000000001,0
Bangladesh,2021-09-07,11.46,5.24,16.69,6.220000000000001,0
Bangladesh,2021-09-08,11.59,6.87,18.46,4.72,0
Bangladesh,2021-09-09,11.77,7.37,19.13,4.3999999999999995,0
Bangladesh,2021-09-11,11.94,7.76,19.69,4.18,0
Bangladesh,2021-09-12,12.07,7.96,20.03,4.11,0
Bangladesh,2021-09-13,12.22,8.1,20.32,4.120000000000001,0
Bangladesh,2021-09-14,12.35,8.21,20.56,4.139999999999999,0
Bangladesh,2021-09-15,12.46,8.27,20.73,4.190000000000001,0
Bangladesh,2021-09-16,12.59,8.35,20.95,4.24,0
Bangladesh,2021-09-18,12.76,8.45,21.2,4.3100000000000005,0
Bangladesh,2021-09-19,12.94,8.58,21.52,4.359999999999999,0
Bangladesh,2021-09-20,13.14,8.71,21.85,4.43,0
Bangladesh,2021-09-21,13.33,8.83,22.16,4.5,0
Bangladesh,2021-09-22,13.53,8.97,22.5,4.559999999999999,0
Bangladesh,2021-09-23,13.73,9.12,22.85,4.610000000000001,0
Bangladesh,2021-09-25,13.89,9.26,23.16,4.630000000000001,0
Bangladesh,2021-09-26,14.13,9.42,23.55,4.710000000000001,0
Bangladesh,2021-09-27,14.36,9.58,23.94,4.779999999999999,0
Bangladesh,2021-09-28,14.53,9.69,24.22,4.84,0
Bangladesh,2021-09-29,18.4,9.77,28.17,8.629999999999999,0
Bangladesh,2021-10-01,19.1,9.86,28.95,9.240000000000002,0
Bangladesh,2021-10-03,19.66,10.0,29.67,9.66,0
Bangladesh,2021-10-04,19.93,10.08,30.01,9.85,0
Bangladesh,2021-10-05,20.17,10.17,30.33,10.000000000000002,0
Bangladesh,2021-10-06,20.43,10.26,30.68,10.17,0
Bangladesh,2021-10-07,20.67,10.35,31.01,10.320000000000002,0
Bangladesh,2021-10-09,20.75,10.38,31.12,10.37,0
Bangladesh,2021-10-10,21.12,10.53,31.66,10.590000000000002,0
Bangladesh,2021-10-11,21.37,10.64,32.01,10.73,0
Bangladesh,2021-10-12,21.55,10.74,32.29,10.81,0
Bangladesh,2021-10-13,21.72,10.83,32.55,10.889999999999999,0
Bangladesh,2021-10-14,21.87,10.91,32.78,10.96,0
Bangladesh,2021-10-16,21.88,10.91,32.79,10.969999999999999,0
Bangladesh,2021-10-17,21.95,10.95,32.9,11.0,0
Bangladesh,2021-10-18,22.3,11.16,33.46,11.14,0
Bangladesh,2021-10-19,22.52,11.29,33.81,11.23,0
Bangladesh,2021-10-21,22.71,11.43,34.14,11.280000000000001,0
Bangladesh,2021-10-23,23.3,11.84,35.14,11.46,0
Bangladesh,2021-10-25,23.53,12.03,35.56,11.500000000000002,0
Bangladesh,2021-10-31,24.41,16.78,41.19,7.629999999999999,0
Bangladesh,2021-11-01,24.63,17.08,41.7,7.550000000000001,0
Bangladesh,2021-11-02,24.81,17.27,42.08,7.539999999999999,0
Bangladesh,2021-11-03,25.01,17.46,42.48,7.550000000000001,0
Bangladesh,2021-11-04,25.18,17.64,42.82,7.539999999999999,0
Bangladesh,2021-11-06,25.33,17.83,43.16,7.5,0
Bangladesh,2021-11-07,26.11,18.03,44.14,8.079999999999998,0
Bangladesh,2021-11-08,26.63,18.28,44.91,8.349999999999998,0
Bangladesh,2021-11-09,27.3,18.47,45.77,8.830000000000002,0
Bangladesh,2021-11-10,28.69,18.67,47.36,10.02,0
Bangladesh,2021-11-11,29.4,18.85,48.25,10.549999999999997,0
Bangladesh,2021-11-13,29.97,19.01,48.97,10.959999999999997,0
Bangladesh,2021-11-14,30.09,19.17,49.26,10.919999999999998,0
Bangladesh,2021-11-15,30.25,19.36,49.62,10.89,0
Bangladesh,2021-11-17,30.68,19.71,50.39,10.969999999999999,0
Bangladesh,2021-11-18,30.96,19.86,50.82,11.100000000000001,0
Bangladesh,2021-11-24,32.91,20.68,53.59,12.229999999999997,0
Bangladesh,2021-11-25,33.32,20.85,54.17,12.469999999999999,0
Bangladesh,2021-11-27,33.77,21.01,54.79,12.760000000000002,0
Bangladesh,2021-11-28,33.77,21.01,54.79,12.760000000000002,0
Bangladesh,2021-11-29,34.63,21.28,55.91,13.350000000000001,0
Bangladesh,2021-11-30,34.96,21.38,56.33,13.580000000000002,0
Bangladesh,2021-12-01,35.99,21.59,57.58,14.400000000000002,0
Bangladesh,2021-12-02,36.58,21.77,58.34,14.809999999999999,0
Bangladesh,2021-12-04,37.18,21.94,59.12,15.239999999999998,0
Bangladesh,2021-12-05,37.55,22.1,59.65,15.449999999999996,0
Bangladesh,2021-12-06,37.95,22.28,60.22,15.670000000000002,0
Bangladesh,2021-12-07,38.07,22.49,60.56,15.580000000000002,0
Bangladesh,2021-12-08,38.25,23.16,61.42,15.09,0
Bangladesh,2021-12-09,38.46,23.8,62.26,14.66,0
Bangladesh,2022-01-10,45.71,32.05,77.77,13.660000000000004,0
Bangladesh,2022-01-12,47.93,32.44,80.37,15.490000000000002,0
Bangladesh,2022-01-14,48.77,32.63,81.4,16.14,0
Bangladesh,2022-01-15,49.82,32.82,82.76,17.0,0
Bangladesh,2022-01-16,50.88,32.99,84.22,17.89,0
Bangladesh,2022-01-17,52.17,33.32,85.92,18.85,0
Bangladesh,2022-01-18,52.8,33.51,86.78,19.29,0
Bangladesh,2022-01-19,53.35,33.69,87.55,19.660000000000004,0
Bangladesh,2022-01-20,53.99,33.88,88.44,20.11,0
Bangladesh,2022-01-22,54.56,34.1,89.27,20.46,0
Bangladesh,2022-01-24,54.92,34.32,89.89,20.6,0
Bangladesh,2022-01-25,55.32,34.53,90.55,20.79,0
Bangladesh,2022-01-26,55.75,34.88,91.37,20.869999999999997,0
Bangladesh,2022-02-18,59.26,43.29,104.24,15.969999999999999,0
Bangladesh,2022-02-19,59.88,44.83,106.53,15.050000000000004,0
Bangladesh,2022-02-22,60.38,45.58,107.84,14.800000000000004,0
Bangladesh,2022-02-28,71.67,48.79,122.64,22.880000000000003,0
Bangladesh,2022-03-06,73.2,50.43,126.06,22.770000000000003,0
Bangladesh,2022-03-07,73.36,51.0,126.92,22.36,0
Bangladesh,2022-03-08,73.53,51.29,127.32,22.240000000000002,0
Bangladesh,2022-03-09,73.58,51.51,127.63,22.07,0
Bangladesh,2022-03-10,73.62,51.76,127.98,21.860000000000007,0
Bangladesh,2022-03-12,73.68,52.04,128.38,21.640000000000008,0
Bangladesh,2022-03-13,73.74,52.27,128.75,21.46999999999999,0
Bangladesh,2022-03-14,73.79,52.53,129.17,21.260000000000005,0
Bangladesh,2022-03-15,73.85,52.82,129.63,21.029999999999994,0
Bangladesh,2022-03-16,73.9,53.06,130.08,20.840000000000003,0
Bangladesh,2022-03-18,73.92,53.18,130.34,20.740000000000002,0
Bangladesh,2022-03-19,73.94,53.25,130.48,20.689999999999998,0
Bangladesh,2022-03-20,74.0,53.59,131.08,20.409999999999997,0
Bangladesh,2022-03-21,74.06,53.98,131.72,20.080000000000005,0
Bangladesh,2022-03-22,74.12,54.5,132.46,19.620000000000005,0
Bangladesh,2022-03-23,74.17,54.92,133.1,19.25,0
Bangladesh,2022-03-24,74.22,55.47,133.9,18.75,0
Bangladesh,2022-03-26,74.24,55.74,134.23,18.499999999999993,0
Bangladesh,2022-03-27,74.29,56.47,135.19,17.820000000000007,0
Bangladesh,2022-03-28,74.4,60.24,139.3,14.160000000000004,0
Bangladesh,2022-03-29,74.51,62.92,142.33,11.590000000000003,0
Bangladesh,2022-03-30,74.63,64.95,144.76,9.679999999999993,0
Bangladesh,2022-03-31,74.7,64.95,145.06,9.75,0
Bangladesh,2022-04-03,74.9,66.62,147.23,8.280000000000001,0
Bangladesh,2022-04-05,74.96,66.85,147.64,8.11,0
Bangladesh,2022-04-06,74.97,66.93,147.8,8.039999999999992,0
Bangladesh,2022-04-07,74.99,67.03,148.0,7.959999999999994,0
Bangladesh,2022-04-09,75.0,67.11,148.17,7.890000000000001,0
Bangladesh,2022-04-11,75.04,67.26,148.51,7.780000000000001,0
Bangladesh,2022-04-17,75.1,67.46,149.02,7.640000000000001,0
Bangladesh,2022-04-18,75.14,67.57,149.31,7.570000000000007,0
Bangladesh,2022-04-19,75.15,67.61,149.43,7.540000000000006,0
Bangladesh,2022-04-20,75.16,67.66,149.55,7.5,0
Bangladesh,2022-04-25,75.2,67.84,150.08,7.359999999999999,0
Bangladesh,2022-05-10,75.25,68.09,150.81,7.159999999999997,0
Bangladesh,2022-05-11,75.26,68.17,151.02,7.090000000000003,0
Bangladesh,2022-05-16,75.29,68.27,151.35,7.02000000000001,0
Bangladesh,2022-05-18,75.31,68.37,151.7,6.939999999999998,0
Bangladesh,2022-05-24,75.33,68.56,152.25,6.769999999999996,0
Bangladesh,2022-05-28,75.35,68.65,152.57,6.699999999999989,0
Bangladesh,2022-05-29,75.36,68.68,152.68,6.679999999999993,0
Bangladesh,2022-06-04,75.38,68.83,153.87,6.549999999999997,0
Bangladesh,2022-06-06,75.4,68.93,156.0,6.469999999999999,0
Bangladesh,2022-06-08,75.42,69.04,158.35,6.3799999999999955,0
Bangladesh,2022-06-12,75.45,69.16,160.16,6.290000000000006,0
Bangladesh,2022-06-13,75.46,69.19,160.33,6.269999999999996,0
Bangladesh,2022-06-18,75.48,69.28,160.82,6.200000000000003,0
Bangladesh,2022-06-19,75.49,69.3,160.92,6.189999999999998,0
Bangladesh,2022-06-21,75.5,69.33,161.04,6.170000000000002,0
Bangladesh,2022-06-22,75.52,69.42,161.31,6.099999999999994,0
Bangladesh,2022-06-27,75.55,69.7,161.96,5.849999999999994,0
Bangladesh,2022-06-28,75.56,69.76,162.1,5.799999999999997,0
Bangladesh,2022-07-02,75.78,69.8,162.52,5.980000000000004,0
Bangladesh,2022-07-04,75.85,69.89,162.86,5.959999999999994,0
Bangladesh,2022-07-05,75.85,69.92,162.99,5.929999999999993,0
Bangladesh,2022-07-06,75.85,69.94,163.08,5.909999999999997,0
Bangladesh,2022-07-13,75.86,69.98,163.26,5.8799999999999955,0
Bangladesh,2022-07-16,75.87,70.0,163.4,5.8700000000000045,0
Bangladesh,2022-07-17,75.87,70.02,163.47,5.8500000000000085,0
Bangladesh,2022-07-19,75.9,70.16,167.0,5.740000000000009,0
Bangladesh,2022-07-21,75.93,70.24,168.24,5.690000000000012,0
Bangladesh,2022-07-24,75.94,70.27,168.58,5.670000000000002,0
Bangladesh,2022-07-25,75.95,70.29,168.71,5.659999999999997,0
Bangladesh,2022-07-26,75.95,70.31,168.87,5.640000000000001,0
Bangladesh,2022-07-30,75.97,70.39,169.33,5.579999999999998,0
Bangladesh,2022-08-01,75.98,70.42,169.54,5.560000000000002,0
Bangladesh,2022-08-03,76.0,70.47,169.8,5.530000000000001,0
Bangladesh,2022-08-06,76.02,70.51,170.06,5.509999999999991,0
Bangladesh,2022-08-14,76.05,70.59,170.56,5.459999999999994,0
Bangladesh,2022-08-17,76.07,70.67,171.3,5.3999999999999915,0
Bangladesh,2022-08-28,76.14,70.77,171.9,5.3700000000000045,0
Bangladesh,2022-08-30,76.3,70.81,172.32,5.489999999999995,0
Bangladesh,2022-09-04,76.45,70.86,172.75,5.590000000000003,0
Bangladesh,2022-09-09,76.63,70.9,173.17,5.72999999999999,0
Bangladesh,2022-09-11,76.68,70.93,173.34,5.75,0
Bangladesh,2022-09-14,76.75,70.97,173.56,5.780000000000001,0
Bangladesh,2022-09-17,76.82,71.01,173.78,5.809999999999988,0
Bangladesh,2022-09-18,76.84,71.02,173.87,5.820000000000007,0
Bangladesh,2022-09-20,76.88,71.06,174.06,5.819999999999993,0
Bangladesh,2022-09-24,76.91,71.09,174.26,5.819999999999993,0
Bangladesh,2022-09-25,76.92,71.1,174.31,5.820000000000007,0
Bangladesh,2022-10-01,77.15,71.58,177.37,5.570000000000007,0
Bangladesh,2022-10-05,77.41,72.2,181.83,5.209999999999994,0
Bangladesh,2022-10-16,79.0,72.38,184.5,6.6200000000000045,0
Bangladesh,2022-10-22,79.72,72.43,185.47,7.289999999999992,0
Bangladesh,2022-10-26,79.76,72.44,185.56,7.320000000000007,0
Bangladesh,2022-10-29,80.25,72.48,186.19,7.769999999999996,0
Bangladesh,2022-10-31,81.25,72.52,187.29,8.730000000000004,0
Bangladesh,2022-11-01,81.85,72.54,187.92,9.309999999999988,0
Bangladesh,2022-11-05,82.84,72.57,189.0,10.27000000000001,0
Bangladesh,2022-11-08,83.2,72.59,189.43,10.61,0
Bangladesh,2022-11-09,83.72,72.63,190.09,11.090000000000003,0
Bangladesh,2022-11-19,85.45,72.82,192.18,12.63000000000001,0
Bangladesh,2022-11-20,85.77,72.87,192.6,12.899999999999991,0
Bangladesh,2022-11-23,85.78,73.06,192.88,12.719999999999999,0
Bangladesh,2022-11-26,86.48,73.08,193.64,13.400000000000006,0
Bangladesh,2022-12-01,86.49,,,,0
Bangladesh,2022-12-02,,73.08,193.64,,0
Bangladesh,2022-12-03,86.97,73.19,194.36,13.780000000000001,0
Bangladesh,2022-12-04,87.11,73.41,195.6,13.700000000000003,0
Bangladesh,2022-12-05,87.12,,,,0
Bangladesh,2022-12-06,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2022-12-07,87.12,,,,0
Bangladesh,2022-12-08,,73.41,195.6,,0
Bangladesh,2022-12-10,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2022-12-11,87.12,,,,0
Bangladesh,2022-12-12,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2022-12-13,87.12,,,,0
Bangladesh,2022-12-14,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2022-12-18,87.12,,,,0
Bangladesh,2022-12-19,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2022-12-20,87.12,,,,0
Bangladesh,2022-12-21,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2022-12-25,87.12,,,,0
Bangladesh,2023-01-01,87.12,73.41,195.6,13.710000000000008,0
Bangladesh,2023-01-02,87.7,74.18,199.6,13.519999999999996,0
Bangladesh,2023-01-04,87.74,74.29,199.78,13.449999999999989,0
Bangladesh,2023-01-08,87.76,74.38,199.91,13.38000000000001,0
Bangladesh,2023-01-09,87.8,,199.95,,0
Bangladesh,2023-01-10,,74.38,,,0
Bangladesh,2023-01-11,87.9,75.35,201.16,12.550000000000011,0
Bangladesh,2023-01-14,87.9,,,,0
Bangladesh,2023-01-15,,75.35,201.16,,0
Bangladesh,2023-01-16,87.97,76.18,202.14,11.789999999999992,0
Bangladesh,2023-01-17,87.99,76.63,,11.36,0
Bangladesh,2023-01-21,,76.63,,,0
Bangladesh,2023-01-25,,77.87,,,0
Bangladesh,2023-01-28,,78.22,,,0
Bangladesh,2023-01-29,,78.46,204.82,,0
Bangladesh,2023-01-30,88.14,,,,0
Bangladesh,2023-01-31,88.18,78.92,205.6,9.260000000000005,0
Bangladesh,2023-02-08,88.24,79.42,206.39,8.819999999999993,0
Bangladesh,2023-02-13,88.25,79.54,206.55,8.709999999999994,0
Bangladesh,2023-02-14,88.28,79.79,206.94,8.489999999999995,0
Bangladesh,2023-02-18,88.29,79.9,207.1,8.39,0
Bangladesh,2023-02-22,88.3,79.94,207.18,8.36,0
Bangladesh,2023-02-23,88.3,79.96,207.22,8.340000000000003,0
Bangladesh,2023-02-25,88.31,80.03,207.34,8.280000000000001,0
Bangladesh,2023-03-01,88.32,80.11,207.46,8.209999999999994,0
Bangladesh,2023-03-10,88.32,80.12,207.47,8.199999999999989,0
Bangladesh,2023-03-11,88.33,80.22,207.58,8.11,0
Bangladesh,2023-03-30,88.38,81.38,208.82,7.0,0
Bangladesh,2023-04-02,88.39,81.55,209.0,6.840000000000003,0
Bangladesh,2023-04-03,88.39,81.59,209.05,6.799999999999997,0
Bangladesh,2023-04-06,88.39,81.63,209.09,6.760000000000005,0
Bangladesh,2023-04-13,88.39,81.65,209.11,6.739999999999995,0
Bangladesh,2023-04-17,88.39,81.65,209.12,6.739999999999995,0
Bangladesh,2023-04-23,88.39,81.65,209.12,6.739999999999995,0
Bangladesh,2023-04-24,88.39,81.65,209.12,6.739999999999995,0
Bangladesh,2023-04-25,88.39,81.65,209.12,6.739999999999995,0
Bangladesh,2023-04-26,88.39,81.65,209.12,6.739999999999995,0
Bangladesh,2023-04-29,88.4,81.65,209.12,6.75,0
Bangladesh,2023-05-01,88.4,81.66,209.12,6.740000000000009,0
Bangladesh,2023-05-02,88.4,81.66,209.13,6.740000000000009,0
Bangladesh,2023-05-06,88.4,81.66,209.13,6.740000000000009,0
Bangladesh,2023-05-07,88.4,81.66,209.13,6.740000000000009,0
Bangladesh,2023-05-08,88.4,81.66,209.14,6.740000000000009,0
Bangladesh,2023-05-10,88.4,81.67,209.14,6.730000000000004,0
Bangladesh,2023-05-13,88.4,81.68,209.15,6.719999999999999,0
Bangladesh,2023-05-14,88.4,81.68,209.16,6.719999999999999,0
Bangladesh,2023-05-15,88.4,81.69,209.16,6.710000000000008,0
Bangladesh,2023-05-16,88.4,81.7,209.17,6.700000000000003,0
Bangladesh,2023-05-17,88.4,81.71,209.18,6.690000000000012,0
Bangladesh,2023-05-19,88.4,81.71,209.19,6.690000000000012,0
Bangladesh,2023-05-20,88.4,81.71,209.19,6.690000000000012,0
Bangladesh,2023-05-21,88.4,81.72,209.2,6.680000000000007,0
Bangladesh,2023-05-22,88.4,81.72,209.2,6.680000000000007,0
Bangladesh,2023-05-23,88.4,81.73,209.21,6.670000000000002,0
Bangladesh,2023-05-24,88.4,81.74,209.22,6.660000000000011,0
Bangladesh,2023-05-25,88.4,81.74,209.22,6.660000000000011,0
Bangladesh,2023-05-27,88.4,81.74,209.23,6.660000000000011,0
Bangladesh,2023-05-28,88.4,81.76,209.25,6.640000000000001,0
Bangladesh,2023-05-29,88.4,81.79,209.27,6.609999999999999,0
Bangladesh,2023-05-30,88.4,81.86,209.34,6.540000000000006,0
Bangladesh,2023-05-31,88.41,81.92,209.41,6.489999999999995,0
Bangladesh,2023-06-01,88.41,81.96,209.45,6.450000000000003,0
Bangladesh,2023-06-03,88.41,81.98,209.47,6.429999999999993,0
Bangladesh,2023-06-04,88.41,82.02,209.52,6.390000000000001,0
Bangladesh,2023-06-05,88.41,82.05,209.56,6.359999999999999,0
Bangladesh,2023-06-06,88.41,82.08,209.59,6.329999999999998,0
Bangladesh,2023-06-07,88.41,82.09,209.6,6.319999999999993,0
Bangladesh,2023-06-08,88.42,82.1,209.61,6.320000000000007,0
Bangladesh,2023-06-10,88.42,82.1,209.62,6.320000000000007,0
Bangladesh,2023-06-11,88.42,82.12,209.65,6.299999999999997,0
Bangladesh,2023-06-12,88.42,82.16,209.69,6.260000000000005,0
Bangladesh,2023-06-13,88.42,82.23,209.77,6.189999999999998,0
Bangladesh,2023-06-14,88.42,82.29,209.83,6.1299999999999955,0
Bangladesh,2023-06-15,88.42,82.33,209.88,6.090000000000003,0
Bangladesh,2023-06-17,88.42,82.34,209.89,6.079999999999998,0
